"Name","Pin","Function","Symbolic Name","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities"
"AVCC0","127","ANALOG0_AVCC0","","","","","","",""
"AVSS0","128","ANALOG0_AVSS0","","","","","","",""
"P000","140","ADC0_AN00","","","","Analog mode","","","ACMPHS0: IVCMP
ADC0: AN00
ICU0: IRQ06"
"P001","139","ADC0_AN01","","","","Analog mode","","","ACMPHS1: IVCMP
ADC0: AN01
ICU0: IRQ07"
"P002","138","ADC0_AN02","","","","Analog mode","","","ACMPHS2: IVCMP
ADC0: AN02
ICU0: IRQ08"
"P003","137","ADC0_AN07 / ADC0_PGAVSS0","","","","Analog mode","","","ADC0: AN07
ADC0: PGAVSS0"
"P004","136","ADC1_AN00","","","","Analog mode","","","ACMPHS3: IVCMP
ADC1: AN00
ICU0: IRQ09"
"P005","135","ADC1_AN01","","","","Analog mode","","","ACMPHS4: IVCMP
ADC1: AN01
ICU0: IRQ10"
"P006","134","ADC1_AN02","","","","Analog mode","","","ACMPHS5: IVCMP
ADC1: AN02
ICU0: IRQ11"
"P007","133","ADC1_AN07","","","","Analog mode","","","ADC1: AN07
ADC1: PGAVSS0"
"P008","132","ADC0_AN03","","","","Analog mode","","None","ADC0: AN03
ICU0: IRQ12"
"P009","131","GPIO","BoardID2","","None","Input mode","","None","ADC0: AN04
ICU0: IRQ13"
"P014","124","GPIO","BoardID1","","","Input mode","","None","ACMPHS0: IVREF
ACMPHS1: IVREF
ACMPHS2: IVREF
ACMPHS3: IVREF
ACMPHS4: IVREF
ACMPHS5: IVREF
ADC0: AN05
ADC1: AN05
DAC0: DA"
"P015","123","GPIO","BoardID0","","None","Input mode","","None","ACMPHS0: IVCMP
ACMPHS1: IVCMP
ACMPHS2: IVCMP
ACMPHS3: IVCMP
ACMPHS4: IVCMP
ACMPHS5: IVCMP
ADC0: AN06
ADC1: AN06
DAC1: DA
ICU0: IRQ13"
"P100","108","SCI0_SCL","","Low","None","Peripheral mode","n-ch open drain","None","AGT0: AGTIO
BUS_ASYNCH_BUS_SDRAM0: D_DQ00
GLCDC0: LCD_EXTCLK
GPT_POEG0: GTETRG
GPT5: GTIOCB
ICU0: IRQ02
IIC1: SCL
KINT0: KRM0
SCI0: RXD
SCI0: SCL
SCI1: SCK
SPI0: MISO"
"P101","107","SCI0_SDA","","Low","None","Peripheral mode","n-ch open drain","None","AGT0: AGTEE
BUS_ASYNCH_BUS_SDRAM0: D_DQ01
GLCDC0: LCD_CLK
GPT_POEG1: GTETRG
GPT5: GTIOCA
ICU0: IRQ01
IIC1: SDA
KINT0: KRM1
SCI0: SDA
SCI0: TXD
SCI1: CTS
SPI0: MOSI"
"P102","106","GPIO","I2C-INT","","","Input mode","","None","ADC0: ADTRG
AGT0: AGTO
BUS_ASYNCH_BUS_SDRAM0: D_DQ02
CAN0: CRX
GLCDC0: LCD_TCON0
GPT_OPS0: GTOWLO
GPT2: GTIOCB
KINT0: KRM2
SCI0: SCK
SPI0: RSPCK"
"P103","105","","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ03
CAN0: CTX
GLCDC0: LCD_TCON1
GPT_OPS0: GTOWUP
GPT2: GTIOCA
KINT0: KRM3
SCI0: CTS
SPI0: SSL0"
"P104","104","GPIO","DIP1","","None","Input mode","","None","BUS_ASYNCH_BUS_SDRAM0: D_DQ04
GLCDC0: LCD_TCON2
GPT_POEG1: GTETRG
GPT1: GTIOCB
ICU0: IRQ01
KINT0: KRM4
SCI8: RXD
SCI8: SCL
SPI0: SSL1"
"P105","103","GPIO","DIP2","","None","Input mode","","None","BUS_ASYNCH_BUS_SDRAM0: D_DQ05
GLCDC0: LCD_TCON3
GPT_POEG0: GTETRG
GPT1: GTIOCA
ICU0: IRQ00
KINT0: KRM5
SCI8: SDA
SCI8: TXD
SPI0: SSL2"
"P106","102","GPIO","DIP3","","","Input mode","","None","AGT0: AGTOB
BUS_ASYNCH_BUS_SDRAM0: D_DQ06
GLCDC0: LCD_DATA00
GPT8: GTIOCB
KINT0: KRM6
SCI8: SCK
SPI0: SSL3"
"P107","101","GPIO","DIP4","","","Input mode","","None","AGT0: AGTOA
BUS_ASYNCH_BUS_SDRAM0: D_DQ07
GLCDC0: LCD_DATA01
GPT8: GTIOCA
KINT0: KRM7
SCI8: CTS"
"P108","73","DEBUG0_TMS","","Low","","Peripheral mode","CMOS","None","DEBUG0: SWDIO
DEBUG0: TMS
GPT_OPS0: GTOULO
GPT0: GTIOCB
SCI9: CTS
SPI1: SSL0"
"P109","74","DEBUG0_TDO","","Low","","Peripheral mode","CMOS","None","CAN1: CTX
CGC0: CLKOUT
DEBUG0: TDO
DEBUG0: TRACESWO
GPT_OPS0: GTOVUP
GPT1: GTIOCA
SCI9: SDA
SCI9: TXD
SPI1: MOSI"
"P110","75","DEBUG0_TDI","","Low","None","Peripheral mode","CMOS","None","ACMP(0-5): VCOUT
CAN1: CRX
DEBUG0: TDI
GPT_OPS0: GTOVLO
GPT1: GTIOCB
ICU0: IRQ03
SCI2: CTS
SCI9: RXD
SCI9: SCL
SPI1: MISO"
"P111","76","","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A05
GLCDC0: LCD_DATA12
GPT3: GTIOCA
ICU0: IRQ04
SCI2: SCK
SCI9: SCK
SPI1: RSPCK"
